sents,labels
"As the second largest contributor to the Coalition military activities , the UK has flown over 870 missions , conducted over 265 bombing raids on ISIL targets , and is now providing an additional 125 soldiers to assist in Counter - IED training for the Iraqi Army helping them to clear territory safely and return it to local people .",O O O O O O B-Organisation I-Organisation I-Organisation O O B-Organisation I-Organisation O O O B-Quantity O O O O B-Quantity O O O B-Location I-Location O O O O O O O B-Quantity B-Organisation O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O B-Organisation I-Organisation O
"He was captured by Jordanian 71st Counter Terrorism Battalion with the aid of Jordanian intelligence officers in May 2006 , and accused of being Abu Musab al - Zarqawi ' s assistant which Karbouly denied . [ 2 ] Karbouly told the tribunal that he was “ innocent ” .",B-Person O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Organisation I-Organisation I-Organisation O B-Temporal I-Temporal O O O O O B-Person I-Person I-Person I-Person I-Person O O O O B-Person O O O O O B-Person O O O O O O O O O O
Some Iraqis still insist their life is here and only here .,B-Organisation I-Organisation O O O O O B-Location O O B-Location O
"“ On this Thanksgiving , please be thankful that there are service members willing to take up the fight to protect our homeland from ISIL ' s hateful and brutal ideology . ”",O O B-Temporal I-Temporal O O O O O O O B-Organisation I-Organisation O O O O O O O O B-Location I-Location O B-Organisation O O O O O O O O
The report also details the destruction of Syria ’ s cultural heritage by Daesh .,B-DocumentReference I-DocumentReference O O O O O B-Location O O O O O B-Organisation O
"Yet like many Iraqis who returned after the 2003 war toppled Saddam Hussein , Karim insists he will stay .",O O O B-Organisation O O O O B-Temporal O O B-Person I-Person O B-Person O B-Person O O O
"On Thursday , Dec. 15 , Coalition aircraft from CJTF - OIR destroyed 14 ISIL tanks and other equipment captured near Palmyra , Syria .",O B-Temporal I-Temporal I-Temporal I-Temporal O B-MilitaryPlatform I-MilitaryPlatform O B-Organisation I-Organisation I-Organisation O B-Quantity B-MilitaryPlatform I-MilitaryPlatform O O O O O B-Location I-Location I-Location O
"It was worried they would push down wages , take jobs from Jordanians and be encouraged to stay permanently , stirring up resentment .",B-Organisation O O B-Organisation O O O O O O O O B-Organisation O O O O O O O O O O O
"He was primarily involved in the logistics of AQI ' s effort in Iraq and assisted in smuggling weapons , money and fighters across the Syria - Iraq border .",B-Person O O O O O O O B-Organisation O O O O B-Location O O O O B-Weapon O B-Money O B-Organisation O B-Location I-Location I-Location I-Location I-Location O
In November 2006 the Islamic Association got permission to build a Muslim Cultural Center next to the city center .,O B-Temporal I-Temporal B-Organisation I-Organisation I-Organisation O O O O B-Location I-Location I-Location I-Location O O B-Location I-Location I-Location O
The International Community must do all it can to pressure the Asad regime to lift sieges in place across Syria and sustain humanitarian access .,B-Organisation I-Organisation I-Organisation O O O B-Organisation O O O B-Organisation I-Organisation I-Organisation O O O O O O B-Location O O O O O
"The United States strongly condemns the horrific attacks today in the towns of Jabla in the northwest province of Latakia , and the port city of Tartus , for which Da ’ esh has claimed responsibility and where more than 60 civilians were killed and injured in multiple bombings that targeted bus stations and a hospital .",B-Organisation I-Organisation I-Organisation O O O O O O O O O O B-Location O B-Location I-Location I-Location I-Location I-Location O O B-Location I-Location I-Location I-Location I-Location O O O B-Organisation I-Organisation I-Organisation O O O O O O O B-Organisation I-Organisation O O O O O O O O O B-Location I-Location O B-Location I-Location O
"On January 15 , 2006 , the umbrella organization known as the Mujahideen Shura Council announced its formation .",O B-Temporal I-Temporal I-Temporal I-Temporal O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O
"For ISIL , this means yet another military defeat in Iraq .",O B-Organisation O O O O O O O O B-Location O
"In 2006 , while meeting in the safehouse with his spiritual adviser , he was bombed and killed by U.S. - led coalition aircraft . [ 2 ]",O B-Temporal O O O O B-Location I-Location O B-Person I-Person I-Person O B-Person O O O O O B-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform I-MilitaryPlatform O O O O
Another resident said he had had heard a missile whizzing through the air .,B-Person I-Person O B-Person O O O O B-Weapon O O O O O
The power station was commissioned in 1972 .,B-Location I-Location I-Location O O O B-Temporal O
"U.S. officials reported that the operation killed 139 insurgents and took 256 more prisoners , and considered it successful .",B-Organisation I-Organisation O O O O O B-Quantity B-Organisation O O B-Quantity O B-Organisation O O O O O O
The Department of Defense announced today the death of a soldier who was supporting Operation Inherent Resolve .,B-Organisation I-Organisation I-Organisation I-Organisation O B-Temporal O O O B-Person I-Person O O O O O O O
This report makes clear that the Asad regime has consistently failed to co - operate with the investigation .,O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O O
UN human rights staff have received reports of atrocities being committed by Islamic State militants as Iraqi government forces close in on Mosul .,B-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O O B-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O O B-Location O
"The regime and its backers , notably Russia , are inflicting the worst bombardment seen yet on Aleppo and other towns and areas in Syria , causing severe humanitarian suffering .",B-Organisation I-Organisation O B-Organisation I-Organisation O O B-Organisation O O O O O B-Weapon O O O B-Location O B-Location I-Location I-Location I-Location O B-Location O O O O O O
"Commenting on reports that ISIL forces have reached the UNESCO World Heritage Site at Palmyra in Syria , Foreign Office Minister Tobias Ellwood said :",O O O O B-Organisation I-Organisation O O B-Location I-Location I-Location I-Location I-Location I-Location I-Location O B-Location O B-Person I-Person I-Person I-Person I-Person O O
"The Department , through its Senior Advisor for MEK Resettlement , will remain actively engaged in the international effort to relocate the residents of Camp Hurriya to safe , permanent locations as soon as possible .",B-Organisation I-Organisation O O B-Person I-Person I-Person I-Person I-Person I-Person O O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Location I-Location I-Location I-Location O O O O O
"Answer : Deputy Secretary of State Tony Blinken will travel to Paris for tomorrow ’ s multilateral meeting , convened by the French government , to discuss efforts to resolve the crisis in Syria .",O O B-Person I-Person I-Person I-Person I-Person I-Person O O O B-Location O B-Temporal O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O B-Location O
"“ In support of these operations , the coalition in the last 24 hours conducted 10 airstrikes , including strikes against both tactical units and the oil infrastructure that provides ISIL ’ s shrinking financial support . """,O O O O O O O B-Organisation I-Organisation O B-Temporal I-Temporal I-Temporal I-Temporal O B-Quantity O O O O O O B-Organisation I-Organisation O B-Location I-Location I-Location O O B-Organisation O O O O O O O
Alsumaria produces almost all of its 24 / 7 programs in - house .,O O O O O O O O O O O O O O
""" On 5 November , Marines from 3rd Battalion , 6th Marines and 2nd Battalion , 1st Marines began their assault on insurgent - held Karabilah , and had cleared the city four days later .",O O B-Temporal I-Temporal O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O B-Location I-Location I-Location I-Location O O O O B-Location I-Location B-Temporal I-Temporal I-Temporal O
"“ If we don ’ t get there , fighters , bombers , and airlifters won ’ t get there without the tanker .",O O B-Organisation O O O O B-Location O O O B-MilitaryPlatform O O B-MilitaryPlatform O O O O B-Location O O O O
The Foreign Secretary joined the US Secretary of State and international partners for talks on the humanitarian situation in Aleppo and across Syria .,B-Person I-Person I-Person O B-Person I-Person I-Person I-Person I-Person O B-Organisation I-Organisation O O O O O O O B-Location O O B-Location O
"ISIL seized the tanks and other military hardware from Tiyas Military Airfield near Palmyra , Syria , between 11 - 13 Dec.",B-Organisation O B-MilitaryPlatform I-MilitaryPlatform O B-Weapon I-Weapon I-Weapon O B-Location I-Location I-Location O B-Location I-Location I-Location O O B-Temporal I-Temporal I-Temporal I-Temporal
- Ensure an effective posture .,O O O O O O
"The group carried out unspeakable atrocities in Dabiq , named its English - language magazine after the town and claimed it would be the site of a final victory for the so - called caliphate .",B-Organisation I-Organisation O O O O O B-Location O O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O B-Location I-Location O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O
"Read the summit documents on issues including counter - terrorism , migration , defence and nuclear energy .",O O O O O O O O O O O O O O O O O O
This listing gives yet another indication that Assad ’ s “ war ” on ISIL is a sham and that he supports them financially .,O O O O O O O B-Person O O O O O O B-Organisation O O O O O B-Person O O O O
I hope that yesterday ’ s agreement can contribute positively to this process .,B-Person O O B-Temporal O O O O O O O O O O
"Despite differences in language and leadership styles , the two units were able to overcome these challenges through the use of translators and linguists while weeks of using their equipment together provided the right environment for the teams to overcome any technical differences .",O O O O O O O O O B-Quantity B-Organisation O O O O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O O O O O B-Organisation I-Organisation O O O O O O
"And , a Jan. 3 U.S. strike hit the headquarters compound itself , he added .",O O O B-Temporal I-Temporal B-Organisation O O B-Location I-Location I-Location O O B-Person O O
"After Zarqawi ' s death , Ghadiya took orders from his successor , Abu Ayyub Al - Masri , either directly or through a deputy .",O B-Person O O O O B-Person O O O O O O B-Person I-Person I-Person I-Person I-Person O O O O O O O O
"And on Sunday , members of IS are reported to have killed 50 former Iraqi police officers they had been holding in a building outside Mosul .",O O B-Temporal O O O B-Organisation O O O O O B-Quantity B-Organisation I-Organisation I-Organisation I-Organisation B-Organisation O O O O B-Location I-Location O B-Location O
". Near Mosul , seven strikes engaged four ISIL tactical units ; destroyed a fighting position , a heavy machine gun , seven ISIL - held buildings , four VBIEDs , a VBIED facility , two weapons caches , three tactical vehicles , a tunnel entrance , and a mortar ; damaged 18 supply routes ; and suppressed two mortar teams and an ISIL tactical unit .",O O O O B-Quantity O O B-Quantity B-Organisation I-Organisation I-Organisation O O B-Location I-Location I-Location O B-Weapon I-Weapon I-Weapon I-Weapon O B-Quantity B-Location I-Location I-Location I-Location O B-Quantity B-Weapon O B-Location I-Location I-Location O B-Quantity O O O B-Quantity B-MilitaryPlatform I-MilitaryPlatform O B-Location I-Location I-Location O O B-Weapon I-Weapon O O B-Quantity O O O O O B-Quantity B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation O
The UK continues to stand shoulder to shoulder with the government and people of Iraq in the fight against terrorism .,B-Organisation I-Organisation O O O O O O O B-Organisation I-Organisation O B-Organisation I-Organisation I-Organisation O O O O O O
The information used to compile the daily strike releases is based on ' Z ' or Greenwich Mean Time .,O O O O O O O O O O O O B-Temporal I-Temporal I-Temporal O B-Temporal I-Temporal I-Temporal O
Pentagon Press will gather around the call in the Press Briefing Room and be called on to ask their questions by Navy Capt. Jeff Davis who will also be in the room at the Pentagon .,B-Organisation I-Organisation O O O O O O B-Location I-Location I-Location I-Location O O O O O O O O O B-Person I-Person B-Person I-Person O O O O O B-Location I-Location O B-Location I-Location O
Noncommissioned officers from each unit were able to share knowledge from past experiences in an information exchange between subject matter experts .,B-Organisation I-Organisation O O B-Organisation O O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O
"Every time he heads for the front line , he stocks up with books first .",O O B-Person O O B-Location I-Location I-Location O O O O O O O O
"conducted five airstrikes , delivering 101 munitions .",O O O O O B-Weapon I-Weapon O
"He was targeted and killed in a cross - border raid conducted by the U.S. military on October 26 , 2008 . [ 1 ] [ 2 ]",B-Person O O O O O O O O O O O O B-Organisation I-Organisation I-Organisation O B-Temporal I-Temporal I-Temporal I-Temporal O O O O O O O
Of course there are many challenges ahead but the world has taken a great step forward to resolving the Syrian crisis .,O O O O O O O O O O O O O O O O O O O B-Nationality O O
"HRW said the woman ' s section of the al - Khani mosque in Daquq , a Kurdish - controlled town about 30km ( 19 miles ) south of Kirkuk , had been filled with Shia Muslim worshippers when it was hit by an explosion .",B-Organisation O B-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location O B-Location O B-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location I-Location O O O O O B-Organisation I-Organisation I-Organisation O O O O O O O O
It is used to train students and graduate doctors from Syrian universities and contributes to scientific research .,O O O O O B-Organisation O B-Organisation I-Organisation O B-Organisation I-Organisation O O O O O O
"I am deeply concerned and shocked by reports that ISIL has killed 70 members of the Al Bu Nimr tribe in Anbar province , Iraq .",B-Person O O O O O O O O B-Organisation O O B-Quantity B-Organisation O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Location I-Location O B-Location O
"It also performs general , endoscopic , vascular and cardiac surgery , neurosurgery and urosurgery .",B-Organisation O O O O O O O O O O O O O O O
The international community – including Russia and Iran – must now work to support a nationwide Cessation of Hostilities to help create the environment for a political settlement based on genuine transition . ”,B-Organisation I-Organisation I-Organisation O O B-Organisation O B-Organisation O O O O O O O O O O O O O O O O O O O O O O O O O O
"The Foreign Secretary , Boris Johnson , said :",B-Person I-Person I-Person O B-Person I-Person O O O
"While our SRTF contribution today will help many , Syrians face significant challenges working to support their communities , and we continue to urge our international partners to contribute and help the SRTF fulfill its important mission .",O B-Organisation B-Organisation O B-Temporal O O O O B-Organisation O O O O O O O O O O O O O O B-Organisation I-Organisation B-Organisation O O O O B-Organisation I-Organisation O O O O O
But nine members of his family died in the blazing orange fireball set off by the blast .,O B-Organisation I-Organisation O B-Organisation I-Organisation O O O O O O O O O O O O
They help us plan for life once Assad is gone .,B-Organisation O B-Organisation O O O O B-Person O O O
"“ I ’ m convinced tankers are the key to global reach , “ Caughlin said .",O B-Person O O O O O O O O O O O O B-Person O O
"Abu Jandal was involved in the use of suicide vehicles , IEDs and chemical weapons against the SDF .",B-Person I-Person O O O O O O B-MilitaryPlatform I-MilitaryPlatform O B-Weapon O B-Weapon I-Weapon O B-Organisation I-Organisation O
"For more information , media may contact the U.S. Army Special Operations Command Public Affairs Office at 910 - 432 - 3383 .",O O O O B-Organisation O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O O
Follow @ BBCNewsMagazine on Twitter and on Facebook,O O O O O O O O
And reading has definitely made mine stronger .,O O O O O O O O
Recent media reports have speculated on the role that international forces will play in the Iraqi operation to liberate Mosul .,O B-DocumentReference I-DocumentReference O O O O O O B-Organisation I-Organisation O O O O O O O O B-Location O
"She already held a first round of talks with the Foreign Ministers of Iran , Saudi Arabia , Emirates , Turkey , Lebanon , Egypt , Jordan , Qatar before the end of the year .",B-Person O O O O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Temporal I-Temporal I-Temporal I-Temporal I-Temporal O
""" "" "" Now these people live in dignity , "" "" he says .",O O O O B-Organisation I-Organisation O O O O O O B-Person O O
"Through its illicit oil operations and trafficking in looted archaeological material from Syria and Iraq , ISIL has generated millions of dollars in hard currency , enabling it to brutalize and oppress innocent civilians .",O O O O O O O O O O O O B-Location O B-Location O B-Organisation O O B-Money I-Money I-Money O O O O O O O O O O O B-Organisation O
"Question : Will the United States participate in the Paris meeting on Syria on October 27 , who will attend / at what level , what other details can we provide , etc . ?",O O O B-Organisation I-Organisation I-Organisation O O O B-Location O O B-Location O B-Temporal I-Temporal O O O O O O O O O O O O O O O O O O O
They go to the market .,B-Organisation O O B-Location I-Location O
"The fortified city fell to coalition forces after seven days of fighting , bringing a conclusion to Operation Steel Curtain .",B-Location I-Location I-Location O O B-Organisation I-Organisation O B-Temporal I-Temporal O O O O O O O O O O O
"As we have repeatedly made clear , the United States supports Iraqi unity and sovereignty .",O B-Organisation O O O O O B-Organisation I-Organisation I-Organisation O B-Nationality O O O O
"The campaign began in October , but got off to a slow start in the face of tough IS defence and counter - attacks .",O O O O B-Temporal O O O O O O O O O O O O O B-Organisation O O O O O O
"They kidnapped and killed 11 people , including one hostage who was beheaded .",B-Organisation O O O O O O O B-Person I-Person O O O O
"He came to Karrada to play his cello , a 300 - year - old instrument he cradled carefully as crowds gathered .",B-Person O O B-Location O O O O O O O O O O O O B-Person O O O B-Organisation O O
This meeting will be an opportunity for Coalition partners to discuss ongoing efforts for Mosul and Raqqah and to explore ways to further accelerate the campaign against Da ’ esh in Iraq and Syria and its network outside those geographic borders .,O O O O O O O B-Organisation I-Organisation O O O O O B-Location O B-Location O O O O O O O O O O B-Organisation I-Organisation I-Organisation O B-Location O B-Location O B-Organisation I-Organisation O O O O O
They saved us from having to bring in migrant labourers from abroad .,B-Organisation O B-Organisation O O O O O O O O O O
"As a long - time Ally , the United States remains steadfast in support of Turkey ’ s democratically elected government and institutions — institutions enshrined in Turkey ’ s constitution .",O O O O O O O B-Organisation I-Organisation I-Organisation O O O O O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O
"The attack was a horrific act of terror against innocent people in the early hours of Sunday morning in Karrada , Baghdad .",O O O O O O O O O O O O O B-Temporal I-Temporal I-Temporal I-Temporal O O B-Location O B-Location O
It also serves to produce hydroelectric power and flood control – although the later has become less critical with the construction of the Mosul Dam upstream and several other large dams in Turkey .,O O O O O O O O O O O O O O O O O O O O O O B-Location I-Location I-Location O O O O O B-Location I-Location I-Location O
"The equipment was destroyed in the vicinity of the airfield , northeast of the city along a highway .",O O O O O O O O B-Location I-Location O B-Location I-Location I-Location I-Location O B-Location I-Location O
"The United States strongly condemns the barbaric terrorist attacks in Iraq today , including one in Baghdad claimed by Daesh that specifically targeted mourners inside a funeral tent .",B-Organisation I-Organisation I-Organisation O O O O O O O B-Location B-Temporal O O O O B-Location O O B-Organisation O O O B-Organisation O B-Location I-Location I-Location O
"“ I am deeply saddened by the news on this Thanksgiving Day that one of our brave service members has been killed in Syria while protecting us from the evil of ISIL , ” Carter said in a Nov. 24 statement .",O B-Person O O O O O O O B-Temporal I-Temporal I-Temporal O B-Person I-Person I-Person I-Person I-Person I-Person O O O O B-Location O O O O O O O B-Organisation O O B-Person O O B-DocumentReference I-DocumentReference I-DocumentReference I-DocumentReference O
". Near Palmyra , one strike destroyed an ISIL - held tank .",O O B-Location O B-Quantity B-Weapon O O B-Organisation O O B-MilitaryPlatform O
"Alsumaria News ( Arabic : ا ل س و م ر ي ة ن ي و ز ‎ ‎ ) is an independent Iraqi satellite TV network that transmits on Nilesat , Hotbird , and Noorsat / Eurobird .",B-Organisation I-Organisation O B-Nationality O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O O O O O O B-Nationality O O O O O O B-Organisation O B-Organisation O O B-Organisation O B-Organisation O
"Ziad Khalaf al - Karbouly ( ز ي ا د خ ل ف ا ل ك ر ب و ل ي ; died 4 February 2015 ) a native of Al - Qa ' im , was an Islamist [ 1 ] former Iraqi officer and the son of an Iraqi tribal sheikh of the Al - Karabla clan of the Dulaim .",B-Person I-Person I-Person I-Person I-Person O O O O O O O O O O O O O O O O O O B-Temporal I-Temporal I-Temporal O O O O B-Location I-Location I-Location I-Location I-Location O O O O O O O O O O O O O O B-Person I-Person I-Person I-Person O B-Organisation I-Organisation I-Organisation I-Organisation I-Organisation O B-Organisation I-Organisation O
But enthusiasts have stocked an underground library in Syria with volumes rescued from bombed buildings - and users dodge shells and bullets to reach it .,O B-Organisation O O B-Location I-Location I-Location O B-Location O O O O O O O O B-Organisation O O O O O O B-Location O
